,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,30-130,1990,9.2,12,8,7,5,0,6,11,54.5,5,73,27,37,44,20,9,10,2,0,8,15,27,14,1,Matches
2,Tammy Abraham,eng ENG,FW,Chelsea,23-096,1997,8.7,5,2,1,3,1,0,3,0,3,113,26,23,8,49,56,7,2,0,5,2,7,11,0,Matches
3,Che Adams,eng ENG,FW,Southampton,24-177,1996,15,17,8,4,8,5,3,14,21.4,11,193,65,33.7,27,65,101,9,1,0,8,3,20,11,0,Matches
4,Tosin Adarabioyo,eng ENG,DF,Fulham,23-104,1997,11,16,10,14,2,0,7,10,70,3,51,14,27.5,40,10,1,9,6,0,3,12,28,69,0,Matches
5,Adrián,es ESP,GK,Liverpool,34-003,1987,2,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,Matches
6,Sergio Agüero,ar ARG,FW,Manchester City,32-218,1988,1.6,0,0,0,0,0,0,1,0,1,19,4,21.1,4,3,12,3,0,0,3,0,0,1,0,Matches
7,Ola Aina,ng NGA,DF,Fulham,24-090,1996,12,21,11,13,6,2,7,15,46.7,8,98,25,25.5,53,36,9,17,3,0,14,19,40,43,0,Matches
8,Rayan Aït Nouri,fr FRA,DF,Wolves,19-214,2001,5.9,12,6,5,6,1,6,12,50,6,80,22,27.5,37,31,12,9,0,0,9,3,15,15,0,Matches
9,Semi Ajayi,ng NGA,DF,West Brom,27-058,1993,16,37,26,27,8,2,9,18,50,9,186,77,41.4,125,52,9,33,19,1,14,15,52,65,1,Matches
10,Nathan Aké,nl NED,DF,Manchester City,25-323,1995,5.2,5,2,3,1,1,2,2,100,0,29,11,37.9,9,14,6,4,1,0,3,3,8,14,0,Matches
11,Marc Albrighton,eng ENG,"DF,FW",Leicester City,31-049,1989,7.8,16,12,8,6,2,6,15,40,9,138,60,43.5,55,46,37,16,2,1,14,10,26,14,0,Matches
12,Thiago Alcántara,es ESP,MF,Liverpool,29-270,1991,2.7,6,6,2,4,0,3,6,50,3,35,11,31.4,6,21,8,3,0,0,3,4,10,3,0,Matches
13,Toby Alderweireld,be BEL,DF,Tottenham,31-310,1989,10.9,19,6,12,7,0,9,13,69.2,4,93,28,30.1,65,28,0,22,14,0,8,1,20,70,0,Matches
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22-091,1998,13.5,20,10,9,8,3,12,18,66.7,6,117,39,33.3,44,40,33,15,2,0,13,7,27,18,1,Matches
15,Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,28-329,1992,10.8,24,12,7,14,3,3,20,15,17,175,51,29.1,77,70,28,21,5,0,16,13,37,19,0,Matches
16,Alisson,br BRA,GK,Liverpool,28-096,1992,14,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,1,Matches
17,Allan,br BRA,MF,Everton,29-364,1991,11.4,36,24,16,18,2,13,46,28.3,33,309,89,28.8,136,154,19,23,6,0,17,7,43,13,0,Matches
18,Dele Alli,eng ENG,"MF,FW",Tottenham,24-270,1996,0.9,2,1,2,0,0,1,1,100,0,38,7,18.4,6,17,15,0,0,0,0,1,3,1,0,Matches
19,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,26-331,1994,9.4,18,9,10,6,2,5,22,22.7,17,181,36,19.9,71,69,41,18,1,0,17,11,29,11,1,Matches
20,Marcos Alonso,es ESP,DF,Chelsea,30-009,1990,2.5,1,0,0,1,0,0,3,0,3,37,11,29.7,22,11,4,8,1,0,7,1,2,10,0,Matches
21,Steven Alzate,co COL,MF,Brighton,22-120,1998,5.8,12,10,8,2,2,2,5,40,3,98,36,36.7,32,44,22,13,1,0,12,3,15,2,1,Matches
22,Daniel Amartey,gh GHA,DF,Leicester City,26-016,1994,2.9,2,1,0,1,1,1,3,33.3,2,25,7,28,13,9,3,4,1,0,3,3,5,12,0,Matches
