,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,30-130,1990,9.2,0,12,5,41.7,1.3,0.54,0,0,19.5,3,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
2,Tammy Abraham,eng ENG,FW,Chelsea,23-096,1997,8.7,6,27,11,40.7,3.11,1.27,0.22,0.55,10,0,0,0,5.1,5.1,0.19,0.9,0.9,Matches
3,Che Adams,eng ENG,FW,Southampton,24-177,1996,15,4,28,14,50,1.87,0.94,0.14,0.29,13.7,0,0,0,3.6,3.6,0.13,0.4,0.4,Matches
4,Tosin Adarabioyo,eng ENG,DF,Fulham,23-104,1997,11,0,9,0,0,0.82,0,0,,9.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
5,Adrián,es ESP,GK,Liverpool,34-003,1987,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
6,Sergio Agüero,ar ARG,FW,Manchester City,32-218,1988,1.6,0,4,1,25,2.52,0.63,0,0,8.4,0,0,0,0.7,0.7,0.17,-0.7,-0.7,Matches
7,Ola Aina,ng NGA,DF,Fulham,24-090,1996,12,1,5,1,20,0.42,0.08,0.2,1,27,0,0,0,0.3,0.3,0.07,0.7,0.7,Matches
8,Rayan Aït Nouri,fr FRA,DF,Wolves,19-214,2001,5.9,1,7,3,42.9,1.19,0.51,0.14,0.33,18.8,0,0,0,0.3,0.3,0.04,0.7,0.7,Matches
9,Semi Ajayi,ng NGA,DF,West Brom,27-058,1993,16,1,4,1,25,0.25,0.06,0.25,1,10,0,0,0,0.3,0.3,0.08,0.7,0.7,Matches
10,Nathan Aké,nl NED,DF,Manchester City,25-323,1995,5.2,1,1,1,100,0.19,0.19,1,1,7,0,0,0,0.1,0.1,0.07,0.9,0.9,Matches
11,Marc Albrighton,eng ENG,"DF,FW",Leicester City,31-049,1989,7.8,0,7,2,28.6,0.9,0.26,0,0,20.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
12,Thiago Alcántara,es ESP,MF,Liverpool,29-270,1991,2.7,0,7,0,0,2.59,0,0,,22,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
13,Toby Alderweireld,be BEL,DF,Tottenham,31-310,1989,10.9,1,5,2,40,0.46,0.18,0.2,0.5,7.9,0,0,0,0.3,0.3,0.07,0.7,0.7,Matches
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22-091,1998,13.5,0,20,3,15,1.48,0.22,0,0,27.1,8,0,0,1,1,0.05,-1,-1,Matches
15,Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,28-329,1992,10.8,2,13,5,38.5,1.2,0.46,0.15,0.4,19,0,0,0,1,1,0.08,1,1,Matches
16,Alisson,br BRA,GK,Liverpool,28-096,1992,14,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
17,Allan,br BRA,MF,Everton,29-364,1991,11.4,0,4,1,25,0.35,0.09,0,0,23.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
18,Dele Alli,eng ENG,"MF,FW",Tottenham,24-270,1996,0.9,0,2,1,50,2.34,1.17,0,0,10.7,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
19,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,26-331,1994,9.4,1,10,5,50,1.07,0.53,0.1,0.2,17.3,0,0,0,1,1,0.1,0,0,Matches
20,Marcos Alonso,es ESP,DF,Chelsea,30-009,1990,2.5,0,2,0,0,0.8,0,0,,25.5,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
21,Steven Alzate,co COL,MF,Brighton,22-120,1998,5.8,0,3,1,33.3,0.52,0.17,0,0,17.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
22,Daniel Amartey,gh GHA,DF,Leicester City,26-016,1994,2.9,0,1,0,0,0.34,0,0,,10,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
23,Ethan Ampadu,wal WAL,"MF,DF",Sheffield Utd,20-114,2000,9.8,0,3,0,0,0.31,0,0,,24.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
24,Joachim Andersen,dk DEN,DF,Fulham,24-220,1996,8.7,0,1,0,0,0.12,0,0,,25,0,0,0,0,0,0.04,0,0,Matches
25,Felipe Anderson,br BRA,"FW,MF",West Ham,27-266,1993,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
26,Michail Antonio,eng ENG,FW,West Ham,30-284,1990,6.4,3,20,10,50,3.15,1.57,0.15,0.3,14.2,0,0,0,2.8,2.8,0.14,0.2,0.2,Matches
27,Alphonse Areola,fr FRA,GK,Fulham,27-314,1993,14,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
28,Stuart Armstrong,sco SCO,MF,Southampton,28-282,1992,12.5,2,16,3,18.8,1.28,0.24,0.13,0.67,19.8,0,0,0,1,1,0.06,1,1,Matches
29,Kepa Arrizabalaga,es ESP,GK,Chelsea,26-095,1994,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
30,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31-202,1989,15,3,30,12,40,2.01,0.8,0.07,0.17,14,0,1,1,4.6,3.8,0.13,-1.6,-1.8,Matches
31,Serge Aurier,ci CIV,DF,Tottenham,28-013,1992,7.7,1,6,3,50,0.78,0.39,0.17,0.33,20,0,0,0,0.7,0.7,0.11,0.3,0.3,Matches
32,Charlie Austin,eng ENG,FW,West Brom,31-185,1989,1.5,0,3,0,0,1.96,0,0,,19.3,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
33,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,29-117,1991,8.4,1,10,6,60,1.19,0.71,0.1,0.17,14.5,0,0,0,1.2,1.2,0.12,-0.2,-0.2,Matches
34,Luke Ayling,eng ENG,DF,Leeds United,29-134,1991,16.8,0,12,3,25,0.72,0.18,0,0,18.1,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
35,César Azpilicueta,es ESP,DF,Chelsea,31-131,1989,6.6,0,3,2,66.7,0.46,0.3,0,0,17.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
36,Eric Bailly,ci CIV,DF,Manchester Utd,26-269,1994,4.1,0,1,0,0,0.24,0,0,,11,0,0,0,0,0,0.05,0,0,Matches
37,Fabián Balbuena,py PAR,DF,West Ham,29-136,1991,12,1,7,2,28.6,0.58,0.17,0.14,0.5,9.1,0,0,0,0.6,0.6,0.09,0.4,0.4,Matches
38,George Baldock,eng ENG,DF,Sheffield Utd,27-303,1993,16,0,10,2,20,0.62,0.12,0,0,16.5,0,0,0,1,1,0.1,-1,-1,Matches
39,Gareth Bale,wal WAL,FW,Tottenham,31-174,1989,1.8,1,7,2,28.6,3.89,1.11,0.14,0.5,17.4,2,0,0,0.6,0.6,0.09,0.4,0.4,Matches
40,Patrick Bamford,eng ENG,FW,Leeds United,27-123,1993,16.2,10,64,26,40.6,3.96,1.61,0.14,0.35,12.9,0,1,1,11.1,10.3,0.16,-1.1,-1.3,Matches
41,Phil Bardsley,sco SCO,DF,Burnley,35-192,1985,3,0,4,0,0,1.33,0,0,,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
42,Ross Barkley,eng ENG,MF,Chelsea,27-032,1993,0.5,0,1,1,100,2.14,2.14,0,0,28,0,0,0,0,0,0.03,0,0,Matches
43,Ross Barkley,eng ENG,MF,Aston Villa,27-032,1993,5,2,17,5,29.4,3.37,0.99,0.12,0.4,19,1,0,0,1.5,1.5,0.09,0.5,0.5,Matches
44,Ashley Barnes,eng ENG,FW,Burnley,31-068,1989,8.7,1,22,8,36.4,2.53,0.92,0.05,0.13,16.3,0,0,0,2.1,2.1,0.09,-1.1,-1.1,Matches
45,Harvey Barnes,eng ENG,"FW,MF",Leicester City,23-028,1997,13.2,5,34,16,47.1,2.57,1.21,0.15,0.31,16.8,0,0,0,3.5,3.5,0.1,1.5,1.5,Matches
46,Kyle Bartley,eng ENG,DF,West Brom,29-229,1991,8.3,1,6,3,50,0.72,0.36,0.17,0.33,6.6,0,0,0,1.1,1.1,0.18,-0.1,-0.1,Matches
47,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,32-170,1988,15.8,0,7,0,0,0.44,0,0,,14.5,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
48,Michy Batshuayi,be BEL,FW,Crystal Palace,27-096,1993,4.8,0,7,3,42.9,1.47,0.63,0,0,17.7,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
49,Jan Bednarek,pl POL,DF,Southampton,24-269,1996,16,1,5,3,60,0.31,0.19,0.2,0.33,6.7,0,0,0,0.6,0.6,0.12,0.4,0.4,Matches
50,Donny van de Beek,nl NED,"MF,FW",Manchester Utd,23-263,1997,2.9,1,1,1,100,0.35,0.35,1,1,9.9,0,0,0,0.3,0.3,0.26,0.7,0.7,Matches
51,Héctor Bellerín,es ESP,DF,Arsenal,25-293,1995,14.2,0,5,2,40,0.35,0.14,0,0,20.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
52,Saïd Benrahma,dz ALG,"MF,FW",West Ham,25-149,1995,4.4,0,13,4,30.8,2.95,0.91,0,0,19.1,1,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
53,Josh Benson,eng ENG,MF,Burnley,21-032,1999,2.8,0,2,0,0,0.71,0,0,,23.5,1,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
54,Christian Benteke,be BEL,FW,Crystal Palace,30-034,1990,6,3,23,9,39.1,3.83,1.5,0.13,0.33,9.2,0,0,0,2.9,2.9,0.13,0.1,0.1,Matches
55,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30-071,1990,2.7,0,4,2,50,1.5,0.75,0,0,23.6,1,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
56,Sander Berge,no NOR,MF,Sheffield Utd,22-327,1998,11.3,1,9,1,11.1,0.8,0.09,0,0,17.8,0,1,1,1.2,0.5,0.05,-0.2,-0.5,Matches
57,Steven Bergwijn,nl NED,"FW,MF",Tottenham,23-090,1997,7.6,0,9,1,11.1,1.19,0.13,0,0,15.5,0,0,0,1.6,1.6,0.18,-1.6,-1.6,Matches
58,Bernard,br BRA,"FW,MF",Everton,28-120,1992,3,1,4,2,50,1.31,0.66,0.25,0.5,18.3,0,0,0,0.2,0.2,0.04,0.8,0.8,Matches
59,Bernardo,br BRA,"MF,DF",Brighton,25-237,1995,1.3,0,4,0,0,3.1,0,0,,6.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
60,Ryan Bertrand,eng ENG,DF,Southampton,31-154,1989,15.9,0,4,1,25,0.25,0.06,0,0,21.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
61,Yves Bissouma,ml MLI,MF,Brighton,24-129,1996,15.3,1,19,2,10.5,1.24,0.13,0.05,0.5,25.1,1,0,0,0.5,0.5,0.03,0.5,0.5,Matches
62,Jayden Bogle,eng ENG,"DF,MF",Sheffield Utd,20-163,2000,1.4,1,2,2,100,1.42,1.42,0.5,0.5,11.2,0,0,0,0.2,0.2,0.08,0.8,0.8,Matches
63,Willy Boly,ci CIV,DF,Wolves,29-338,1991,12,0,4,0,0,0.33,0,0,,10.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
64,Jarrod Bowen,eng ENG,"FW,MF",West Ham,24-017,1996,14.3,4,34,6,17.6,2.37,0.42,0.12,0.67,17.5,0,0,0,3.3,3.3,0.1,0.7,0.7,Matches
65,Robbie Brady,ie IRL,MF,Burnley,28-358,1992,6.8,1,7,4,57.1,1.04,0.59,0.14,0.25,20.4,2,0,0,0.4,0.4,0.05,0.6,0.6,Matches
66,Rhian Brewster,eng ENG,FW,Sheffield Utd,20-280,2000,6.7,0,9,3,33.3,1.35,0.45,0,0,16.2,1,0,0,1.1,1.1,0.13,-1.1,-1.1,Matches
67,Josh Brownhill,eng ENG,MF,Burnley,25-018,1995,14,0,14,1,7.1,1,0.07,0,0,20.5,4,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
68,Joe Bryan,eng ENG,"DF,FW",Fulham,27-111,1993,3.8,0,3,1,33.3,0.79,0.26,0,0,24.7,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
69,Kean Bryan,eng ENG,DF,Sheffield Utd,24-066,1996,1.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
70,Oliver Burke,sco SCO,FW,Sheffield Utd,23-274,1997,6.8,0,9,3,33.3,1.32,0.44,0,0,13.1,0,0,0,1.2,1.2,0.14,-1.2,-1.2,Matches
71,Dan Burn,eng ENG,DF,Brighton,28-242,1992,8.1,0,5,0,0,0.61,0,0,,17.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
72,Oskar Buur,dk DEN,DF,Wolves,22-281,1998,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
73,Willy Caballero,ar ARG,GK,Chelsea,39-100,1981,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
74,Gary Cahill,eng ENG,DF,Crystal Palace,35-018,1985,5,0,1,0,0,0.2,0,0,,15,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
75,Tom Cairney,sco SCO,MF,Fulham,29-352,1991,8.4,1,12,4,33.3,1.42,0.47,0.08,0.25,20,0,0,0,0.7,0.7,0.06,0.3,0.3,Matches
76,Dominic Calvert-Lewin,eng ENG,FW,Everton,23-296,1997,15.6,11,44,24,54.5,2.82,1.54,0.25,0.46,11.7,0,0,0,8.3,8.3,0.19,2.7,2.7,Matches
77,João Cancelo,pt POR,"DF,MF",Manchester City,26-224,1994,11,0,9,2,22.2,0.82,0.18,0,0,23.4,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
78,Ian Carlo Poveda,eng ENG,"MF,DF",Leeds United,20-332,2000,2.6,0,5,3,60,1.9,1.14,0,0,17.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
79,Andy Carroll,eng ENG,FW,Newcastle Utd,32-000,1989,2.4,1,9,1,11.1,3.77,0.42,0.11,1,14.6,0,0,0,0.6,0.6,0.07,0.4,0.4,Matches
80,Matty Cash,eng ENG,DF,Aston Villa,23-152,1997,13.6,0,5,1,20,0.37,0.07,0,0,20.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
81,Timothy Castagne,be BEL,DF,Leicester City,25-032,1995,8.7,1,2,2,100,0.23,0.23,0.5,0.5,7.2,0,0,0,0.3,0.3,0.14,0.7,0.7,Matches
82,Ivan Cavaleiro,pt POR,FW,Fulham,27-080,1993,10.8,1,18,8,44.4,1.67,0.74,0,0,19.4,0,1,2,2.5,1.8,0.1,-1.5,-1.8,Matches
83,Edinson Cavani,uy URU,FW,Manchester Utd,33-327,1987,3.4,3,13,5,38.5,3.87,1.49,0.23,0.6,9.9,0,0,0,2.4,2.4,0.19,0.6,0.6,Matches
84,Dani Ceballos,es ESP,MF,Arsenal,24-152,1996,10.6,0,6,0,0,0.57,0,0,,29,1,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
85,Ben Chilwell,eng ENG,DF,Chelsea,24-016,1996,13,2,11,6,54.5,0.85,0.46,0.18,0.33,12.9,0,0,0,1,1,0.09,1,1,Matches
86,Hamza Choudhury,eng ENG,MF,Leicester City,23-097,1997,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
87,Andreas Christensen,dk DEN,DF,Chelsea,24-271,1996,4.5,0,1,0,0,0.22,0,0,,8.3,0,0,0,0,0,0.04,0,0,Matches
88,Ciaran Clark,ie IRL,DF,Newcastle Utd,31-102,1989,8,1,5,2,40,0.62,0.25,0.2,0.5,11.3,0,0,0,0.2,0.2,0.04,0.8,0.8,Matches
89,Nathaniel Clyne,eng ENG,DF,Crystal Palace,29-276,1991,8.8,0,2,1,50,0.23,0.11,0,0,23.6,0,0,0,0,0,0.02,0,0,Matches
90,Conor Coady,eng ENG,DF,Wolves,27-316,1993,16,0,2,0,0,0.12,0,0,,21.6,0,0,0,0,0,0.02,0,0,Matches
91,Séamus Coleman,ie IRL,DF,Everton,32-087,1988,6.3,0,3,3,100,0.47,0.47,0,0,22.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
92,Aaron Connolly,ie IRL,FW,Brighton,20-344,2000,6.5,2,14,6,42.9,2.17,0.93,0.14,0.33,13.1,0,0,0,2.1,2.1,0.15,-0.1,-0.1,Matches
93,Liam Cooper,sco SCO,DF,Leeds United,29-129,1991,10.8,1,6,2,33.3,0.56,0.19,0.17,0.5,8.4,0,0,0,0.4,0.4,0.07,0.6,0.6,Matches
94,Hélder Costa,pt POR,MF,Leeds United,26-360,1994,7.5,2,9,4,44.4,1.19,0.53,0.22,0.5,14.7,0,0,0,1,1,0.11,1,1,Matches
95,Vladimír Coufal,cz CZE,DF,West Ham,28-137,1992,12.9,0,4,1,25,0.31,0.08,0,0,16.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
96,Aaron Cresswell,eng ENG,DF,West Ham,31-022,1989,17,0,10,3,30,0.59,0.18,0,0,23.7,5,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
97,Stuart Dallas,nir NIR,"DF,MF",Leeds United,29-262,1991,16.9,3,20,8,40,1.18,0.47,0.15,0.38,20.8,0,0,0,1.9,1.9,0.1,1.1,1.1,Matches
98,Scott Dann,eng ENG,DF,Crystal Palace,33-327,1987,8,1,5,2,40,0.62,0.25,0.2,0.5,9.2,0,0,0,0.3,0.3,0.07,0.7,0.7,Matches
99,Karl Darlow,eng ENG,GK,Newcastle Utd,30-090,1990,16,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
100,Ben Davies,wal WAL,DF,Tottenham,27-257,1993,7.6,0,2,0,0,0.26,0,0,,10.4,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
101,Tom Davies,eng ENG,"MF,DF",Everton,22-190,1998,4.7,0,1,0,0,0.21,0,0,,35,0,0,0,0,0,0.01,0,0,Matches
102,Keinan Davis,eng ENG,FW,Aston Villa,22-328,1998,0.6,0,3,0,0,5.29,0,0,,10,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches
103,Leif Davis,eng ENG,DF,Leeds United,20-360,2000,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
104,Craig Dawson,eng ENG,DF,West Ham,30-245,1990,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
105,Kevin De Bruyne,be BEL,MF,Manchester City,29-192,1991,13.2,3,47,13,27.7,3.56,0.98,0.02,0.08,20.8,8,2,3,7,4.7,0.1,-4,-3.7,Matches
106,Liam Delap,eng ENG,FW,Manchester City,17-333,2003,0.4,0,1,0,0,2.25,0,0,,12,0,0,0,0,0,0.03,0,0,Matches
107,Fabian Delph,eng ENG,"MF,DF",Everton,31-046,1989,2.4,0,1,0,0,0.42,0,0,,30.4,0,0,0,0,0,0.03,0,0,Matches
108,Leander Dendoncker,be BEL,MF,Wolves,25-266,1995,10.5,0,15,6,40,1.43,0.57,0,0,13.6,0,0,0,2,2,0.13,-2,-2,Matches
109,Ibrahima Diallo,fr FRA,MF,Southampton,21-304,1999,2.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
110,Grady Diangana,eng ENG,"MF,FW",West Brom,22-262,1998,11.9,1,12,5,41.7,1.01,0.42,0.08,0.2,16.1,0,0,0,1,1,0.08,0,0,Matches
111,Raphael Dias Belloli,br BRA,MF,Leeds United,24-023,1996,9.3,2,30,11,36.7,3.23,1.19,0.07,0.18,17.8,1,0,0,2.3,2.3,0.08,-0.3,-0.3,Matches
112,Rúben Dias,pt POR,DF,Manchester City,23-237,1997,12.8,0,7,3,42.9,0.55,0.23,0,0,7.8,0,0,0,0.8,0.8,0.12,-0.8,-0.8,Matches
113,Eric Dier,eng ENG,DF,Tottenham,26-357,1994,15,0,8,2,25,0.53,0.13,0,0,22.9,5,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
114,Lucas Digne,fr FRA,DF,Everton,27-170,1993,7.8,0,3,0,0,0.39,0,0,,22.9,1,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
115,Virgil van Dijk,nl NED,DF,Liverpool,29-182,1991,4.1,1,4,2,50,0.97,0.49,0.25,0.5,13.5,0,0,0,0.3,0.3,0.08,0.7,0.7,Matches
116,Issa Diop,fr FRA,DF,West Ham,23-363,1997,3.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
117,Moussa Djenepo,ml MLI,MF,Southampton,22-205,1998,7.7,1,9,2,22.2,1.16,0.26,0.11,0.5,20.2,0,0,0,0.5,0.5,0.05,0.5,0.5,Matches
118,Matt Doherty,ie IRL,DF,Tottenham,28-356,1992,7.8,0,1,1,100,0.13,0.13,0,0,5.8,0,0,0,0.3,0.3,0.34,-0.3,-0.3,Matches
119,Gabriel Dos Santos,br BRA,DF,Arsenal,23-018,1997,11.7,2,10,3,30,0.86,0.26,0.2,0.67,11,0,0,0,0.7,0.7,0.07,1.3,1.3,Matches
120,Abdoulaye Doucouré,fr FRA,MF,Everton,28-005,1993,15.1,1,13,4,30.8,0.86,0.27,0.08,0.25,17.9,0,0,0,1.4,1.4,0.11,-0.4,-0.4,Matches
121,Paul Dummett,wal WAL,DF,Newcastle Utd,29-102,1991,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
122,Lewis Dunk,eng ENG,DF,Brighton,29-046,1991,14,2,13,4,30.8,0.93,0.29,0.15,0.5,11.9,1,0,0,1.6,1.6,0.13,0.4,0.4,Matches
123,Jimmy Dunne,ie IRL,DF,Burnley,23-079,1997,2,1,3,1,33.3,1.5,0.5,0.33,1,8.4,0,0,0,0.3,0.3,0.09,0.7,0.7,Matches
124,Ederson,br BRA,GK,Manchester City,27-142,1993,14,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
125,Kyle Edwards,eng ENG,"MF,FW",West Brom,22-324,1998,1.3,0,2,1,50,1.53,0.76,0,0,15.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
126,John Egan,ie IRL,DF,Sheffield Utd,28-078,1992,15.1,0,7,0,0,0.46,0,0,,10.3,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
127,Ahmed Elmohamady,eg EGY,DF,Aston Villa,33-119,1987,1.5,0,2,0,0,1.35,0,0,,13.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
