,,,,,,,Playing Time,,,,Performance,,,,,,Per 90 Minutes,,,,,Expected,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,30-130,1990,10,9,829,9.2,0,1,0,0,1,0,0,0.11,0.11,0,0.11,0.7,0.7,0.7,0.08,0.07,0.15,0.08,0.15,Matches
2,Tammy Abraham,eng ENG,FW,Chelsea,23-096,1997,14,8,782,8.7,6,1,0,0,0,0,0.69,0.12,0.81,0.69,0.81,5.1,5.1,0.9,0.58,0.1,0.68,0.58,0.68,Matches
3,Che Adams,eng ENG,FW,Southampton,24-177,1996,16,16,"1,346",15,4,4,0,0,1,0,0.27,0.27,0.53,0.27,0.53,3.6,3.6,3.9,0.24,0.26,0.5,0.24,0.5,Matches
4,Tosin Adarabioyo,eng ENG,DF,Fulham,23-104,1997,11,11,990,11,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.1,0.04,0.01,0.06,0.04,0.06,Matches
5,Adrián,es ESP,GK,Liverpool,34-003,1987,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Sergio Agüero,ar ARG,FW,Manchester City,32-218,1988,5,2,143,1.6,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.6,0.42,0.35,0.77,0.42,0.77,Matches
7,Ola Aina,ng NGA,DF,Fulham,24-090,1996,12,12,"1,080",12,1,0,0,0,0,0,0.08,0,0.08,0.08,0.08,0.3,0.3,0.3,0.03,0.03,0.05,0.03,0.05,Matches
8,Rayan Aït Nouri,fr FRA,DF,Wolves,19-214,2001,8,6,530,5.9,1,0,0,0,0,0,0.17,0,0.17,0.17,0.17,0.3,0.3,0.4,0.05,0.06,0.11,0.05,0.11,Matches
9,Semi Ajayi,ng NGA,DF,West Brom,27-058,1993,16,16,"1,440",16,1,0,0,0,2,0,0.06,0,0.06,0.06,0.06,0.3,0.3,0,0.02,0,0.02,0.02,0.02,Matches
10,Nathan Aké,nl NED,DF,Manchester City,25-323,1995,6,5,470,5.2,1,0,0,0,3,0,0.19,0,0.19,0.19,0.19,0.1,0.1,0,0.01,0,0.02,0.01,0.02,Matches
11,Marc Albrighton,eng ENG,"DF,FW",Leicester City,31-049,1989,11,7,703,7.8,0,1,0,0,1,0,0,0.13,0.13,0,0.13,0.5,0.5,1.2,0.06,0.15,0.21,0.06,0.21,Matches
12,Thiago Alcántara,es ESP,MF,Liverpool,29-270,1991,4,2,243,2.7,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.3,0.06,0.1,0.17,0.06,0.17,Matches
13,Toby Alderweireld,be BEL,DF,Tottenham,31-310,1989,11,11,980,10.9,1,0,0,0,0,0,0.09,0,0.09,0.09,0.09,0.3,0.3,0.2,0.03,0.02,0.05,0.03,0.05,Matches
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22-091,1998,15,14,"1,216",13.5,0,2,0,0,1,0,0,0.15,0.15,0,0.15,1,1,2.1,0.08,0.15,0.23,0.08,0.23,Matches
15,Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,28-329,1992,15,12,973,10.8,2,0,0,0,2,0,0.18,0,0.18,0.18,0.18,1,1,1.4,0.09,0.13,0.22,0.09,0.22,Matches
